number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cpc_latent_dim,params_dropout_rate,params_focal_alpha,params_focal_gamma,params_learning_rate,params_mixup_alpha,params_snn_hidden_sizes,params_spike_time_steps,params_use_attention,params_use_cosine_scheduling,params_use_focal_loss,params_use_mixup,params_warmup_epochs,params_weight_decay,state
0,0.0,2025-07-28 02:54:47.899518,2025-07-28 02:54:57.441269,0 days 00:00:09.541751,1,128,0.14561457009902096,,,0.0001329291894316216,,"(128, 128, 128, 64)",200,True,True,False,False,9.0,5.34293726127978e-05,COMPLETE
1,0.0,2025-07-28 02:54:57.441630,2025-07-28 02:55:01.682174,0 days 00:00:04.240544,2,128,0.331261142176991,,,3.972110727381908e-05,,"(256, 128, 64)",200,True,False,False,False,,1.0842262717330169e-05,COMPLETE
2,0.0,2025-07-28 02:55:01.682345,2025-07-28 02:55:01.787560,0 days 00:00:00.105215,1,128,0.4077307142274171,0.8895095492804138,4.08897907718663,0.002115429079726122,0.17948627261366898,"(128, 128, 128, 64)",50,True,False,True,True,,1.0521761868451139e-06,COMPLETE
3,0.0,2025-07-28 02:55:01.787738,2025-07-28 02:55:01.887288,0 days 00:00:00.099550,1,512,0.012709563372047594,,,2.2264204303769678e-05,,"(512, 256, 128, 64)",200,False,True,False,False,15.0,5.1305517605898387e-05,COMPLETE
4,0.0,2025-07-28 02:55:01.887476,2025-07-28 02:55:01.982474,0 days 00:00:00.094998,2,256,0.21355389431312816,,,5.59598687800608e-05,0.1440207698110707,"(128, 64)",100,False,False,False,True,,8.160948743089919e-06,COMPLETE
5,0.0,2025-07-28 02:55:01.982701,2025-07-28 02:55:06.705068,0 days 00:00:04.722367,4,512,0.11978094533348621,,,4.6379219034580266e-05,0.2114585856946446,"(256, 128, 64)",50,True,False,False,True,,0.004295992790539129,COMPLETE
6,0.0,2025-07-28 02:55:06.705301,2025-07-28 02:55:06.812187,0 days 00:00:00.106886,2,256,0.345468869051233,,,0.0019268985325226215,,"(256, 128, 64)",100,False,False,False,False,,4.982711200081135e-06,COMPLETE
7,0.0,2025-07-28 02:55:06.812403,2025-07-28 02:55:06.919527,0 days 00:00:00.107124,1,128,0.08081435704730688,,,0.0059440281134109305,0.35681265846171517,"(256, 256, 128)",100,False,True,False,True,5.0,2.170500348871115e-06,COMPLETE
8,0.0,2025-07-28 02:55:06.919786,2025-07-28 02:55:07.032828,0 days 00:00:00.113042,2,256,0.3974056517708242,0.4144781797334084,4.568186220708453,3.0368556852449644e-05,,"(256, 256, 128)",200,True,False,True,False,,0.0003346220103048386,COMPLETE
9,0.0,2025-07-28 02:55:07.032984,2025-07-28 02:55:07.141178,0 days 00:00:00.108194,2,256,0.4680773870803905,,,6.955319544158292e-05,0.16779709867443698,"(128, 128, 128, 64)",100,True,True,False,True,6.0,0.00016873495104568966,COMPLETE
